	time (s)	Channel 1 (V)	Channel 2 (V)
0	-0.01252	0.28	-0.34
1	-0.01251	0.16	-0.42
2	-0.0125	0.12	-0.48
3	-0.01249	0.06	-0.48
4	-0.01248	0.06	-0.44
5	-0.01247	0.08	-0.36
6	-0.01246	0.16	-0.28
7	-0.01245	0.26	-0.14
8	-0.01244	0.42	-0.02
9	-0.01243	0.52	0.08
10	-0.01242	0.62	0.18
11	-0.01241	0.7000000000000001	0.26
12	-0.0124	0.78	0.28
13	-0.01239	0.78	0.3
14	-0.01238	0.76	0.24
15	-0.012369999999999999	0.7000000000000001	0.16
16	-0.01236	0.6	0.06
17	-0.01235	0.46	-0.06
18	-0.01234	0.32	-0.2
19	-0.01233	0.16	-0.34
20	-0.01232	0.02	-0.44
21	-0.01231	-0.06	-0.52
22	-0.0123	-0.16	-0.56
23	-0.01229	-0.22	-0.58
24	-0.01228	-0.22	-0.56
25	-0.01227	-0.16	-0.46
26	-0.01226	-0.1	-0.36
27	-0.01225	-0.02	-0.24
28	-0.01224	0.1	-0.12
29	-0.01223	0.22	0.0
30	-0.01222	0.32	0.1
31	-0.01221	0.42	0.18
32	-0.012199999999999999	0.48	0.22
33	-0.01219	0.5	0.24
34	-0.01218	0.46	0.16
35	-0.01217	0.4	0.1
36	-0.01216	0.3	0.0
37	-0.01215	0.18	-0.12
38	-0.01214	0.04	-0.26
39	-0.01213	-0.12	-0.38
40	-0.01212	-0.26	-0.48
41	-0.01211	-0.36	-0.58
42	-0.0121	-0.44	-0.6
43	-0.01209	-0.5	-0.6
44	-0.01208	-0.52	-0.58
45	-0.012069999999999999	-0.48	-0.5
46	-0.01206	-0.4	-0.4
47	-0.01205	-0.3	-0.26
48	-0.01204	-0.16	-0.14
49	-0.012029999999999999	-0.06	-0.02
50	-0.01202	0.04	0.1
51	-0.01201	0.14	0.18
52	-0.012	0.2	0.22
53	-0.01199	0.22	0.22
54	-0.01198	0.2	0.18
55	-0.01197	0.12	0.12
56	-0.01196	0.04	0.0
57	-0.01195	-0.08	-0.12
58	-0.01194	-0.22	-0.24
59	-0.01193	-0.36	-0.36
60	-0.01192	-0.5	-0.46
61	-0.01191	-0.6	-0.52
62	-0.011899999999999999	-0.68	-0.58
63	-0.01189	-0.72	-0.58
64	-0.01188	-0.72	-0.54
65	-0.01187	-0.66	-0.46
66	-0.011859999999999999	-0.6	-0.34
67	-0.01185	-0.5	-0.22
68	-0.01184	-0.36	-0.08
69	-0.01183	-0.24	0.06
70	-0.01182	-0.1	0.16
71	-0.01181	0.0	0.24
72	-0.0118	0.04	0.28
73	-0.01179	0.06	0.28
74	-0.01178	0.06	0.26
75	-0.01177	0.02	0.18
76	-0.01176	-0.06	0.08
77	-0.01175	-0.2	-0.02
78	-0.01174	-0.32	-0.16
79	-0.011729999999999999	-0.44	-0.28
80	-0.01172	-0.6	-0.38
81	-0.01171	-0.68	-0.44
82	-0.0117	-0.74	-0.48
83	-0.011689999999999999	-0.78	-0.48
84	-0.01168	-0.76	-0.44
85	-0.01167	-0.7000000000000001	-0.32
86	-0.01166	-0.62	-0.24
87	-0.01165	-0.52	-0.1
88	-0.01164	-0.38	0.02
89	-0.01163	-0.22	0.14
90	-0.01162	-0.12	0.26
91	-0.01161	0.0	0.34
92	-0.0116	0.08	0.4
93	-0.01159	0.12	0.4
94	-0.01158	0.1	0.36
95	-0.01157	0.06	0.3
96	-0.011559999999999999	-0.02	0.22
97	-0.01155	-0.12	0.08
98	-0.01154	-0.24	-0.04
99	-0.01153	-0.36	-0.16
100	-0.011519999999999999	-0.48	-0.26
101	-0.01151	-0.58	-0.32
102	-0.0115	-0.62	-0.36
103	-0.01149	-0.66	-0.34
104	-0.01148	-0.64	-0.3
105	-0.01147	-0.58	-0.22
106	-0.01146	-0.48	-0.14
107	-0.01145	-0.36	0.0
108	-0.01144	-0.22	0.14
109	-0.01143	-0.08	0.26
110	-0.01142	0.08	0.38
111	-0.01141	0.18	0.48
112	-0.0114	0.26	0.5
113	-0.011389999999999999	0.3	0.52
114	-0.01138	0.32	0.48
115	-0.01137	0.28	0.42
116	-0.01136	0.2	0.3
117	-0.011349999999999999	0.1	0.2
