,time (s),Channel 1 (V),Channel 2 (V)
0,-0.0252,0.24,0.98
1,-0.02518,0.24,0.98
2,-0.025160000000000002,0.22,0.98
3,-0.02514,0.2,0.98
4,-0.02512,0.2,0.98
5,-0.0251,0.18,0.98
6,-0.02508,0.18,0.98
7,-0.02506,0.16,0.98
8,-0.02504,0.16,0.98
9,-0.02502,0.14,0.98
10,-0.025,0.12,0.98
11,-0.02498,0.12,0.98
12,-0.02496,0.1,0.98
13,-0.02494,0.1,0.98
14,-0.02492,0.08,0.98
15,-0.0249,0.06,0.98
16,-0.02488,0.06,0.98
17,-0.02486,0.06,0.98
18,-0.02484,0.04,0.96
19,-0.024820000000000002,0.02,0.96
20,-0.0248,0.02,0.96
21,-0.02478,0.0,0.96
22,-0.02476,0.0,0.96
23,-0.02474,-0.02,0.96
24,-0.02472,-0.04,0.96
25,-0.0247,-0.04,0.96
26,-0.02468,-0.06,0.96
27,-0.02466,-0.06,0.96
28,-0.02464,-0.08,0.96
29,-0.02462,-0.08,0.96
30,-0.0246,-0.1,0.96
31,-0.02458,-0.12,0.96
32,-0.02456,-0.12,0.96
33,-0.02454,-0.14,0.96
34,-0.02452,-0.14,0.96
35,-0.0245,-0.16,0.96
36,-0.024480000000000002,-0.18,0.96
37,-0.02446,-0.18,0.96
38,-0.02444,-0.18,0.96
39,-0.02442,-0.2,0.96
40,-0.0244,-0.22,0.96
41,-0.02438,-0.22,0.96
42,-0.02436,-0.24,0.96
43,-0.02434,-0.24,0.96
44,-0.02432,-0.26,0.96
45,-0.0243,-0.26,0.9400000000000001
46,-0.02428,-0.28,0.96
47,-0.02426,-0.28,0.9400000000000001
48,-0.02424,-0.3,0.9400000000000001
49,-0.02422,-0.32,0.9400000000000001
50,-0.0242,-0.32,0.9400000000000001
51,-0.02418,-0.34,0.9400000000000001
52,-0.02416,-0.34,0.9400000000000001
53,-0.02414,-0.36,0.9400000000000001
54,-0.02412,-0.36,0.9400000000000001
55,-0.0241,-0.38,0.9400000000000001
56,-0.02408,-0.38,0.9400000000000001
57,-0.02406,-0.4,0.9400000000000001
58,-0.02404,-0.4,0.9400000000000001
59,-0.02402,-0.42,0.9400000000000001
60,-0.024,-0.42,0.9400000000000001
61,-0.02398,-0.44,0.9400000000000001
62,-0.02396,-0.44,0.9400000000000001
63,-0.02394,-0.46,0.9400000000000001
64,-0.02392,-0.46,0.9400000000000001
65,-0.0239,-0.48,0.9400000000000001
66,-0.02388,-0.48,0.9400000000000001
67,-0.02386,-0.5,0.9400000000000001
