,time (s),Channel 1 (V),Channel 2 (V)
0,-0.0252,0.24,0.88
1,-0.02518,0.24,0.88
2,-0.025160000000000002,0.22,0.88
3,-0.02514,0.2,0.88
4,-0.02512,0.2,0.88
5,-0.0251,0.18,0.88
6,-0.02508,0.18,0.86
7,-0.02506,0.16,0.86
8,-0.02504,0.16,0.86
9,-0.02502,0.14,0.86
10,-0.025,0.12,0.86
11,-0.02498,0.12,0.86
12,-0.02496,0.1,0.86
13,-0.02494,0.1,0.86
14,-0.02492,0.08,0.86
15,-0.0249,0.08,0.86
16,-0.02488,0.06,0.86
17,-0.02486,0.06,0.86
18,-0.02484,0.04,0.84
19,-0.024820000000000002,0.02,0.84
20,-0.0248,0.02,0.84
21,-0.02478,0.0,0.84
22,-0.02476,0.0,0.84
23,-0.02474,-0.02,0.84
24,-0.02472,-0.04,0.84
25,-0.0247,-0.04,0.84
26,-0.02468,-0.06,0.84
27,-0.02466,-0.06,0.84
28,-0.02464,-0.08,0.84
29,-0.02462,-0.08,0.84
30,-0.0246,-0.1,0.84
31,-0.02458,-0.12,0.84
32,-0.02456,-0.12,0.84
33,-0.02454,-0.14,0.84
34,-0.02452,-0.14,0.8200000000000001
35,-0.0245,-0.16,0.8200000000000001
36,-0.024480000000000002,-0.18,0.8200000000000001
37,-0.02446,-0.18,0.8200000000000001
38,-0.02444,-0.18,0.8200000000000001
39,-0.02442,-0.2,0.8200000000000001
40,-0.0244,-0.22,0.8200000000000001
41,-0.02438,-0.22,0.8200000000000001
42,-0.02436,-0.24,0.8200000000000001
43,-0.02434,-0.24,0.8200000000000001
44,-0.02432,-0.26,0.8200000000000001
45,-0.0243,-0.26,0.8200000000000001
46,-0.02428,-0.28,0.8200000000000001
47,-0.02426,-0.28,0.8
48,-0.02424,-0.3,0.8
49,-0.02422,-0.32,0.8
50,-0.0242,-0.32,0.8
51,-0.02418,-0.34,0.8
52,-0.02416,-0.34,0.8
53,-0.02414,-0.36,0.8
54,-0.02412,-0.36,0.8
55,-0.0241,-0.38,0.8
56,-0.02408,-0.38,0.8
57,-0.02406,-0.4,0.8
58,-0.02404,-0.4,0.8
59,-0.02402,-0.42,0.8
60,-0.024,-0.42,0.8
61,-0.02398,-0.44,0.8
62,-0.02396,-0.44,0.8
63,-0.02394,-0.46,0.8
64,-0.02392,-0.48,0.78
65,-0.0239,-0.48,0.78
66,-0.02388,-0.5,0.78
67,-0.02386,-0.5,0.78
68,-0.02384,-0.52,0.78
69,-0.02382,-0.52,0.78
70,-0.0238,-0.54,0.78
71,-0.02378,-0.54,0.78
72,-0.02376,-0.56,0.78
73,-0.02374,-0.56,0.78
74,-0.02372,-0.58,0.78
75,-0.0237,-0.58,0.78
76,-0.02368,-0.6,0.78
77,-0.02366,-0.6,0.78
78,-0.02364,-0.62,0.76
79,-0.02362,-0.62,0.78
80,-0.0236,-0.62,0.76
81,-0.02358,-0.64,0.76
82,-0.02356,-0.66,0.76
83,-0.02354,-0.66,0.76
84,-0.02352,-0.66,0.76
85,-0.0235,-0.68,0.76
86,-0.02348,-0.68,0.76
87,-0.02346,-0.7000000000000001,0.76
88,-0.02344,-0.72,0.76
89,-0.02342,-0.72,0.76
90,-0.0234,-0.72,0.76
91,-0.02338,-0.74,0.76
92,-0.02336,-0.74,0.76
93,-0.02334,-0.76,0.74
94,-0.02332,-0.76,0.76
95,-0.0233,-0.78,0.74
96,-0.02328,-0.78,0.74
97,-0.02326,-0.8,0.74
98,-0.02324,-0.8,0.74
99,-0.02322,-0.8,0.74
100,-0.0232,-0.8200000000000001,0.74
101,-0.02318,-0.8200000000000001,0.74
102,-0.02316,-0.84,0.74
103,-0.02314,-0.84,0.74
104,-0.02312,-0.86,0.74
105,-0.0231,-0.86,0.74
