,time (s),Channel 1 (V),Channel 2 (V)
0,-1.64e-05,4.16,3.72
1,-1.636e-05,4.16,3.72
2,-1.632e-05,4.16,3.72
3,-1.628e-05,4.16,3.72
4,-1.624e-05,4.16,3.72
5,-1.6199999999999997e-05,4.2,3.72
6,-1.6159999999999998e-05,4.16,3.72
7,-1.6119999999999998e-05,4.16,3.72
8,-1.608e-05,4.16,3.72
9,-1.604e-05,4.16,3.72
10,-1.6e-05,4.16,3.72
11,-1.596e-05,4.16,3.72
12,-1.592e-05,4.2,3.72
13,-1.588e-05,4.16,3.72
14,-1.5839999999999997e-05,4.16,3.72
15,-1.5799999999999998e-05,4.16,3.72
16,-1.5759999999999998e-05,4.16,3.72
17,-1.572e-05,4.2,3.72
18,-1.568e-05,4.16,3.72
19,-1.564e-05,4.2,3.72
20,-1.56e-05,4.16,3.72
21,-1.556e-05,4.16,3.72
22,-1.552e-05,4.16,3.72
23,-1.5479999999999997e-05,4.16,3.72
24,-1.5439999999999998e-05,4.2,3.72
25,-1.5399999999999998e-05,4.16,3.72
26,-1.536e-05,4.16,3.72
27,-1.532e-05,4.16,3.72
28,-1.528e-05,4.16,3.72
29,-1.5239999999999998e-05,4.16,3.72
30,-1.5199999999999998e-05,4.16,3.72
31,-1.5159999999999999e-05,4.2,3.72
32,-1.512e-05,4.16,3.72
33,-1.5079999999999998e-05,4.16,3.72
34,-1.5039999999999998e-05,4.16,3.72
35,-1.4999999999999999e-05,4.16,3.72
36,-1.4959999999999999e-05,4.16,3.72
37,-1.492e-05,4.16,3.72
38,-1.4879999999999998e-05,4.16,3.72
39,-1.4839999999999999e-05,4.16,3.72
40,-1.4799999999999999e-05,4.16,3.72
41,-1.476e-05,4.16,3.72
42,-1.4719999999999998e-05,4.16,3.72
43,-1.4679999999999998e-05,4.2,3.72
44,-1.4639999999999999e-05,4.16,3.72
45,-1.4599999999999999e-05,4.16,3.72
46,-1.456e-05,4.16,3.72
47,-1.4519999999999998e-05,4.16,3.72
48,-1.4479999999999999e-05,4.16,3.72
49,-1.4439999999999999e-05,4.16,3.72
50,-1.44e-05,4.2,3.72
51,-1.4359999999999998e-05,4.16,3.72
52,-1.4319999999999998e-05,4.2,3.72
53,-1.4279999999999999e-05,4.16,3.72
54,-1.424e-05,4.2,3.72
55,-1.42e-05,4.16,3.72
56,-1.4159999999999998e-05,4.16,3.72
57,-1.4119999999999999e-05,4.16,3.72
58,-1.4079999999999999e-05,4.16,3.72
59,-1.404e-05,4.16,3.72
60,-1.3999999999999998e-05,4.16,3.72
61,-1.3959999999999998e-05,4.2,3.72
62,-1.3919999999999999e-05,4.16,3.72
63,-1.388e-05,4.2,3.72
64,-1.384e-05,4.2,3.72
65,-1.3799999999999998e-05,4.16,3.72
66,-1.3759999999999999e-05,4.16,3.72
67,-1.3719999999999999e-05,4.16,3.72
68,-1.3679999999999998e-05,4.2,3.72
69,-1.3639999999999998e-05,4.16,3.72
70,-1.3599999999999999e-05,4.16,3.72
71,-1.3559999999999999e-05,4.16,3.72
72,-1.352e-05,4.16,3.72
73,-1.348e-05,4.16,3.72
74,-1.3439999999999998e-05,4.16,3.72
75,-1.3399999999999999e-05,4.16,3.72
76,-1.3359999999999999e-05,4.16,3.72
77,-1.3319999999999998e-05,4.16,3.72
78,-1.3279999999999998e-05,4.16,3.72
79,-1.3239999999999999e-05,4.16,3.72
80,-1.3199999999999999e-05,4.16,3.72
81,-1.316e-05,4.16,3.72
82,-1.312e-05,4.2,3.72
83,-1.3079999999999998e-05,4.2,3.72
84,-1.3039999999999999e-05,4.16,3.72
85,-1.3e-05,4.2,3.72
86,-1.2959999999999998e-05,4.16,3.72
87,-1.2919999999999998e-05,4.2,3.72
88,-1.2879999999999999e-05,4.16,3.72
89,-1.2839999999999999e-05,4.16,3.72
90,-1.28e-05,4.2,3.72
91,-1.276e-05,4.16,3.72
92,-1.2719999999999998e-05,4.16,3.72
93,-1.2679999999999999e-05,4.16,3.72
94,-1.264e-05,4.2,3.72
95,-1.2599999999999998e-05,4.16,3.72
96,-1.2559999999999998e-05,4.2,3.72
97,-1.2519999999999999e-05,4.2,3.72
98,-1.2479999999999999e-05,4.16,3.72
99,-1.244e-05,4.16,3.72
100,-1.24e-05,4.16,3.72
101,-1.2359999999999999e-05,4.2,3.72
102,-1.2319999999999999e-05,4.16,3.72
103,-1.2279999999999998e-05,4.2,3.72
104,-1.2239999999999998e-05,4.2,3.72
105,-1.2199999999999998e-05,4.16,3.72
106,-1.2159999999999999e-05,4.2,3.72
107,-1.212e-05,4.16,3.72
108,-1.208e-05,4.16,3.72
109,-1.204e-05,4.2,3.72
110,-1.1999999999999999e-05,4.16,3.72
111,-1.1959999999999999e-05,4.2,3.72
112,-1.1919999999999998e-05,4.16,3.72
113,-1.1879999999999998e-05,4.2,3.72
114,-1.1839999999999998e-05,4.16,3.72
115,-1.1799999999999999e-05,4.16,3.72
116,-1.176e-05,4.2,3.72
117,-1.172e-05,4.16,3.72
118,-1.168e-05,4.2,3.72
119,-1.1639999999999999e-05,4.16,3.72
120,-1.1599999999999999e-05,4.2,3.72
121,-1.1559999999999998e-05,4.16,3.72
122,-1.1519999999999998e-05,4.16,3.72
123,-1.1479999999999999e-05,4.2,3.72
124,-1.1439999999999999e-05,4.16,3.72
125,-1.14e-05,4.2,3.72
126,-1.136e-05,4.16,3.72
127,-1.1319999999999998e-05,4.16,3.72
128,-1.1279999999999999e-05,4.16,3.72
129,-1.1239999999999999e-05,4.16,3.72
130,-1.1199999999999998e-05,4.2,3.72
131,-1.1159999999999998e-05,4.16,3.72
132,-1.1119999999999999e-05,4.2,3.72
133,-1.1079999999999999e-05,4.16,3.72
134,-1.104e-05,4.2,3.72
135,-1.1e-05,4.16,3.72
136,-1.0959999999999998e-05,4.16,3.72
137,-1.0919999999999999e-05,4.2,3.72
138,-1.0879999999999997e-05,4.16,3.72
139,-1.0839999999999998e-05,4.16,3.72
140,-1.0799999999999998e-05,4.16,3.72
141,-1.0759999999999999e-05,4.16,3.72
142,-1.0719999999999999e-05,4.2,3.72
143,-1.068e-05,4.2,3.72
144,-1.064e-05,4.2,3.72
145,-1.0599999999999998e-05,4.16,3.72
146,-1.0559999999999999e-05,4.2,3.72
147,-1.0519999999999998e-05,4.16,3.72
148,-1.0479999999999998e-05,4.16,3.72
149,-1.0439999999999998e-05,4.16,3.72
150,-1.0399999999999999e-05,4.16,3.72
151,-1.0359999999999999e-05,4.2,3.72
152,-1.032e-05,4.16,3.72
153,-1.028e-05,4.2,3.72
154,-1.0239999999999999e-05,4.16,3.72
155,-1.0199999999999999e-05,4.16,3.72
156,-1.0159999999999998e-05,4.2,3.72
157,-1.0119999999999998e-05,4.16,3.72
158,-1.0079999999999998e-05,4.2,3.72
159,-1.0039999999999999e-05,4.16,3.72
160,-9.999999999999999e-06,4.16,3.72
161,-9.96e-06,4.16,3.72
162,-9.92e-06,4.2,3.72
163,-9.879999999999999e-06,4.16,3.72
164,-9.839999999999999e-06,4.16,3.72
165,-9.799999999999998e-06,4.2,3.72
166,-9.759999999999998e-06,4.16,3.72
167,-9.719999999999998e-06,4.16,3.72
168,-9.679999999999999e-06,4.16,3.72
169,-9.64e-06,4.16,3.72
170,-9.6e-06,4.2,3.72
171,-9.56e-06,4.16,3.72
172,-9.519999999999999e-06,4.16,3.72
173,-9.479999999999999e-06,4.16,3.72
174,-9.439999999999998e-06,4.16,3.72
175,-9.399999999999998e-06,4.16,3.72
176,-9.359999999999998e-06,4.16,3.72
177,-9.319999999999999e-06,4.2,3.72
178,-9.28e-06,4.16,3.72
179,-9.24e-06,4.2,3.72
180,-9.199999999999998e-06,4.16,3.72
181,-9.159999999999999e-06,4.16,3.72
182,-9.119999999999999e-06,4.2,3.72
183,-9.079999999999998e-06,4.16,3.72
184,-9.039999999999998e-06,4.2,3.72
185,-8.999999999999999e-06,4.16,3.72
186,-8.959999999999999e-06,4.16,3.72
187,-8.92e-06,4.16,3.72
188,-8.88e-06,4.16,3.72
189,-8.839999999999998e-06,4.2,3.72
190,-8.799999999999999e-06,4.16,3.72
191,-8.759999999999999e-06,4.16,3.72
192,-8.719999999999998e-06,4.16,3.72
193,-8.679999999999998e-06,4.16,3.72
194,-8.639999999999999e-06,4.16,3.72
195,-8.599999999999999e-06,4.16,3.72
196,-8.56e-06,4.2,3.72
197,-8.519999999999998e-06,4.16,3.72
198,-8.479999999999998e-06,4.2,3.72
199,-8.439999999999999e-06,4.16,3.72
200,-8.4e-06,4.2,3.72
201,-8.359999999999998e-06,4.2,3.72
202,-8.319999999999998e-06,4.2,3.72
203,-8.279999999999999e-06,4.2,3.72
204,-8.239999999999999e-06,4.16,3.72
205,-8.2e-06,4.2,3.72
206,-8.159999999999998e-06,4.16,3.72
207,-8.119999999999998e-06,4.16,3.72
208,-8.079999999999999e-06,4.16,3.72
209,-8.04e-06,4.2,3.72
210,-7.999999999999998e-06,4.2,3.72
211,-7.959999999999998e-06,4.16,3.72
212,-7.919999999999999e-06,4.2,3.72
