,time (s),Channel 1 (V),Channel 2 (V)
0,-0.0252,0.24,0.0
1,-0.02518,0.24,0.0
2,-0.025160000000000002,0.22,0.0
3,-0.02514,0.2,0.0
4,-0.02512,0.2,0.0
5,-0.0251,0.18,0.0
6,-0.02508,0.18,0.0
7,-0.02506,0.16,0.0
8,-0.02504,0.16,0.0
9,-0.02502,0.14,0.0
10,-0.025,0.12,0.0
11,-0.02498,0.12,0.0
12,-0.02496,0.1,0.0
13,-0.02494,0.1,0.0
14,-0.02492,0.08,0.0
15,-0.0249,0.06,0.0
16,-0.02488,0.06,0.0
17,-0.02486,0.06,0.0
18,-0.02484,0.04,0.0
19,-0.024820000000000002,0.02,0.0
20,-0.0248,0.02,0.0
21,-0.02478,0.0,0.0
22,-0.02476,0.0,0.0
23,-0.02474,-0.02,0.0
24,-0.02472,-0.04,0.0
25,-0.0247,-0.04,0.0
26,-0.02468,-0.06,0.0
27,-0.02466,-0.06,0.0
28,-0.02464,-0.08,0.0
29,-0.02462,-0.08,0.0
30,-0.0246,-0.1,0.0
31,-0.02458,-0.12,0.0
32,-0.02456,-0.12,0.0
33,-0.02454,-0.14,0.0
34,-0.02452,-0.14,0.0
35,-0.0245,-0.16,0.0
36,-0.024480000000000002,-0.18,0.0
37,-0.02446,-0.18,0.0
38,-0.02444,-0.2,0.0
39,-0.02442,-0.2,0.0
40,-0.0244,-0.22,0.0
41,-0.02438,-0.24,0.0
42,-0.02436,-0.24,0.0
43,-0.02434,-0.24,0.0
44,-0.02432,-0.26,0.0
45,-0.0243,-0.26,0.0
46,-0.02428,-0.28,0.0
47,-0.02426,-0.28,0.0
48,-0.02424,-0.3,0.0
49,-0.02422,-0.32,0.0
50,-0.0242,-0.32,0.0
51,-0.02418,-0.34,0.0
52,-0.02416,-0.34,0.0
53,-0.02414,-0.36,0.0
54,-0.02412,-0.36,0.0
55,-0.0241,-0.38,0.0
56,-0.02408,-0.4,0.0
57,-0.02406,-0.4,0.0
58,-0.02404,-0.42,0.0
59,-0.02402,-0.42,0.0
60,-0.024,-0.44,0.0
61,-0.02398,-0.44,0.0
62,-0.02396,-0.46,0.0
63,-0.02394,-0.46,0.0
64,-0.02392,-0.48,0.0
65,-0.0239,-0.48,0.0
66,-0.02388,-0.5,0.0
67,-0.02386,-0.5,0.0
68,-0.02384,-0.52,0.0
69,-0.02382,-0.52,0.0
70,-0.0238,-0.54,0.0
71,-0.02378,-0.54,0.0
72,-0.02376,-0.56,0.0
73,-0.02374,-0.56,0.0
74,-0.02372,-0.58,0.0
75,-0.0237,-0.58,0.0
76,-0.02368,-0.6,0.0
77,-0.02366,-0.62,0.0
