,frequencia (Hz),Vpp1 (V),Vpp2 (V),fase (rad)
0,10.0,2.0088033676,1.9999773502,0.3600000143
1,13.73823795883263,2.0210521221,1.9936695099,-0.4945054948
2,18.873918221350976,1.9965544939,1.987532258,-0.2719033062
3,25.92943797404667,1.9965544939,1.9937211275,-1.8672199249
4,35.62247890262442,1.9965544939,1.9875112772,-1.538461566
5,48.93900918477494,1.9843057394,1.9813960791,-2.1135029793
6,67.23357536499334,1.9843056202,1.9874917269,-3.1451611519
7,92.36708571873861,1.9843057394,1.9813767672,-4.9815564156
8,126.89610031679221,1.9720568657,1.9752080441,-5.9390864372
9,174.33288221999874,1.9720568657,1.9569779634,-8.5355653763
10,239.5026619987486,1.9720568657,1.9268686771,-11.3793096542
11,329.03445623126674,1.959807992,1.8738021851,-16.1264820099
12,452.03536563602404,1.9475592375,1.7988479137,-21.8083171844
13,621.0169418915616,1.8985641003,1.6818600893,-28.6211166382
14,853.1678524172805,1.8618175983,1.4903873205,-36.5841178894
15,1172.1022975334806,1.8250712156,1.2435709238,-45.1582679749
16,1610.2620275609393,1.7760759592,1.0136275291,-55.0451622009
17,2212.216291070448,1.7638272047,0.7908043265,-62.9760818481
18,3039.195382313198,1.727080822,0.5960413218,-69.9878463745
19,4175.3189365604,1.7148320675,0.4465757012,-74.7368469238
20,5736.152510448682,1.7025831938,0.3297801614,-78.6206893921
21,7880.462815669913,1.7025831938,0.2465379238,-82.6299133301
22,10826.36733874054,1.7025831938,0.1809495687,-82.5081100464
23,14873.521072935118,1.7025831938,0.1328076124,-83.6363601685
24,20433.597178569395,1.7025831938,0.0986626744,-86.9778823853
25,28072.162039411756,1.7025831938,0.0710348487,-86.5617980957
26,38566.20421163472,1.7025831938,0.0521273538,-86.525100708
27,52983.16906283702,1.6903344393,0.038817443,-86.5677947998
28,72789.53843983146,1.7025831938,0.0276520029,-87.4398269653
29,100000.0,1.7025831938,0.0201592743,-84.6846847534
