,vdc (V),Vpp1 (V),Vmean2 (V)
0,-0.5,0.0573307984,0.0003897239
1,-0.47474747474747475,0.0549701191,0.0005144458
2,-0.4494949494949495,0.0515977219,0.0002929332
3,-0.42424242424242425,0.0526094399,0.0004843857
4,-0.398989898989899,0.0526094399,0.0004535894
5,-0.3737373737373737,0.0529466793,0.0005027291
6,-0.3484848484848485,0.0539584011,0.0003996318
7,-0.3232323232323232,0.0515977219,0.0004412645
8,-0.297979797979798,0.0515977219,0.0003662265
9,-0.2727272727272727,0.0522722006,0.0003631532
10,-0.24747474747474746,0.0553073622,0.0003609284
11,-0.2222222222222222,0.0553073585,0.0002677711
12,-0.19696969696969696,0.0559818409,0.0005212165
13,-0.1717171717171717,0.0573308021,0.0005122849
14,-0.14646464646464646,0.0542956404,0.0004039216
15,-0.12121212121212122,0.0519349612,0.0004297559
16,-0.09595959595959597,0.0522722006,0.0003963825
17,-0.07070707070707072,0.0522722006,0.0005143817
18,-0.04545454545454547,0.0542956404,0.0003758303
19,-0.02020202020202022,0.0549701191,0.0006079872
20,0.005050505050505083,0.0536211617,0.000572581
21,0.030303030303030276,0.0549701191,0.0005240015
22,0.05555555555555558,0.0526094399,0.0005372389
23,0.08080808080808077,0.0522722006,0.0004879071
24,0.10606060606060608,0.0519349612,0.0006737895
25,0.13131313131313127,0.0526094399,0.0009255062
26,0.15656565656565657,0.0542956404,0.0011143336
27,0.18181818181818177,0.0532839224,0.0018422728
28,0.20707070707070707,0.0569935627,0.0029374468
29,0.23232323232323226,0.0542956404,0.0048914123
30,0.25757575757575757,0.0536211617,0.0083719241
31,0.28282828282828276,0.0526094399,0.0139777018
32,0.30808080808080807,0.0529466793,0.0216413848
33,0.33333333333333337,0.0573307984,0.0310430359
34,0.35858585858585856,0.0553073622,0.0436606929
35,0.38383838383838387,0.0566563196,0.0575252771
36,0.40909090909090906,0.0563190803,0.0739625469
37,0.43434343434343436,0.0553073585,0.0905171931
38,0.45959595959595956,0.0526094399,0.1086864546
39,0.48484848484848486,0.0515977181,0.1281106621
40,0.5101010101010102,0.0522722006,0.1478553414
41,0.5353535353535352,0.0515977181,0.1675685644
42,0.5606060606060606,0.0519349612,0.1880499423
43,0.5858585858585859,0.0515977181,0.2090042531
44,0.6111111111111112,0.0529466793,0.2303496152
45,0.6363636363636362,0.0526094399,0.2519712746
46,0.6616161616161615,0.0519349612,0.2746103108
47,0.6868686868686869,0.0556446016,0.296510011
48,0.7121212121212122,0.0556446016,0.3195525408
49,0.7373737373737375,0.0526094399,0.3422526717
50,0.7626262626262625,0.0536211617,0.3648687005
51,0.7878787878787878,0.0519349612,0.3874363899
52,0.8131313131313131,0.0519349612,0.4112038016
53,0.8383838383838385,0.0549701191,0.4339779913
54,0.8636363636363635,0.0559818409,0.4576589465
55,0.8888888888888888,0.0512604788,0.4803043604
56,0.9141414141414141,0.0526094399,0.503950417
57,0.9393939393939394,0.0532839224,0.5272377133
58,0.9646464646464645,0.0569935627,0.5505754352
59,0.9898989898989898,0.0539584011,0.5737400055
60,1.0151515151515151,0.0573308021,0.5979092717
61,1.0404040404040404,0.0546328798,0.6219295263
62,1.0656565656565655,0.0542956404,0.6459323764
63,1.0909090909090908,0.0539584011,0.6694160104
64,1.1161616161616161,0.0536211617,0.6942099929
65,1.1414141414141414,0.0522722006,0.7174115181
66,1.1666666666666667,0.0536211617,0.742739439
67,1.1919191919191918,0.0529466793,0.7661043406
68,1.2171717171717171,0.0515977219,0.7905660272
69,1.2424242424242424,0.0522722006,0.8136156201
70,1.2676767676767677,0.056993559,0.8389225006
71,1.2929292929292928,0.0573307984,0.8631931543
72,1.3181818181818181,0.056993559,0.8875119686
73,1.3434343434343434,0.0573308021,0.9115085006
74,1.3686868686868687,0.056993559,0.9359301329
75,1.3939393939393938,0.0546328798,0.9605567455
76,1.4191919191919191,0.0519349612,0.9852520227
77,1.4444444444444444,0.0529466793,1.0090880394
78,1.4696969696969697,0.0559818409,1.0345363617
79,1.4949494949494948,0.0586797595,1.0591441393
80,1.5202020202020203,0.0522722006,1.0842688084
81,1.5454545454545454,0.0532839186,1.1084358692
82,1.5707070707070705,0.0519349612,1.1334953308
83,1.595959595959596,0.0569935627,1.1576714516
84,1.621212121212121,0.0539584011,1.1831479073
85,1.6464646464646466,0.0529466793,1.2077537775
86,1.6717171717171717,0.0519349612,1.2319681644
87,1.6969696969696968,0.0519349612,1.2556753159
88,1.7222222222222223,0.0519349612,1.2802585363
89,1.7474747474747474,0.0515977181,1.3039834499
90,1.7727272727272725,0.0515977181,1.3290396929
91,1.797979797979798,0.0522722006,1.3522766829
92,1.823232323232323,0.0519349612,1.3775862455
93,1.8484848484848486,0.0515977181,1.4009268284
94,1.8737373737373737,0.0519349612,1.425470233
95,1.8989898989898988,0.0539584011,1.4492586851
96,1.9242424242424243,0.0529466793,1.4734506607
97,1.9494949494949494,0.0532839186,1.4972662926
98,1.974747474747475,0.0536211617,1.5222295523
99,2.0,0.0549701191,1.5459827185
