,time (s),Channel 1 (V),Channel 2 (V)
0,-0.01252,0.72,0.6
1,-0.01251,0.6,0.56
2,-0.0125,0.52,0.56
3,-0.01249,0.36,0.56
4,-0.01248,0.28,0.52
5,-0.01247,0.2,0.48
6,-0.01246,0.16,0.48
7,-0.01245,0.16,0.48
8,-0.01244,0.24,0.44
9,-0.01243,0.32,0.44
10,-0.01242,0.44,0.44
11,-0.01241,0.56,0.44
12,-0.0124,0.68,0.4
13,-0.01239,0.8,0.44
14,-0.01238,0.92,0.48
15,-0.012369999999999999,0.96,0.52
16,-0.01236,1.0,0.52
17,-0.01235,0.96,0.56
18,-0.01234,0.88,0.6
19,-0.01233,0.8,0.6
20,-0.01232,0.68,0.6
21,-0.01231,0.52,0.6
22,-0.0123,0.4,0.6
23,-0.01229,0.28,0.56
24,-0.01228,0.16,0.52
25,-0.01227,0.08,0.48
26,-0.01226,0.08,0.48
27,-0.01225,0.04,0.44
28,-0.01224,0.08,0.4
29,-0.01223,0.2,0.4
30,-0.01222,0.28,0.36
31,-0.01221,0.4,0.36
32,-0.012199999999999999,0.52,0.36
33,-0.01219,0.64,0.4
34,-0.01218,0.72,0.4
35,-0.01217,0.76,0.4
36,-0.01216,0.76,0.44
37,-0.01215,0.72,0.48
38,-0.01214,0.68,0.48
39,-0.01213,0.56,0.48
40,-0.01212,0.44,0.48
41,-0.01211,0.32,0.48
42,-0.0121,0.16,0.44
43,-0.01209,0.0,0.4
44,-0.01208,-0.08,0.4
45,-0.012069999999999999,-0.16,0.36
46,-0.01206,-0.2,0.32
47,-0.01205,-0.2,0.28
48,-0.01204,-0.16,0.28
49,-0.012029999999999999,-0.08,0.2
50,-0.01202,0.0,0.2
51,-0.01201,0.16,0.16
52,-0.012,0.24,0.2
53,-0.01199,0.36,0.2
54,-0.01198,0.44,0.2
55,-0.01197,0.48,0.24
56,-0.01196,0.48,0.24
57,-0.01195,0.48,0.28
58,-0.01194,0.4,0.28
59,-0.01193,0.28,0.28
60,-0.01192,0.16,0.28
61,-0.01191,0.0,0.24
62,-0.011899999999999999,-0.16,0.24
63,-0.01189,-0.28,0.16
64,-0.01188,-0.4,0.16
65,-0.01187,-0.44,0.12
66,-0.011859999999999999,-0.48,0.08
67,-0.01185,-0.48,0.04
68,-0.01184,-0.48,0.0
69,-0.01183,-0.4,-0.04
70,-0.01182,-0.28,-0.08
71,-0.01181,-0.16,-0.08
72,-0.0118,-0.04,-0.04
73,-0.01179,0.08,-0.08
74,-0.01178,0.16,-0.08
75,-0.01177,0.2,-0.04
76,-0.01176,0.24,-0.04
77,-0.01175,0.2,-0.04
78,-0.01174,0.12,0.0
79,-0.011729999999999999,0.04,0.0
80,-0.01172,-0.08,0.0
81,-0.01171,-0.24,0.0
82,-0.0117,-0.4,-0.04
83,-0.011689999999999999,-0.52,-0.08
84,-0.01168,-0.6,-0.08
85,-0.01167,-0.68,-0.16
86,-0.01166,-0.72,-0.2
87,-0.01165,-0.72,-0.24
88,-0.01164,-0.64,-0.24
89,-0.01163,-0.6,-0.28
90,-0.01162,-0.48,-0.32
91,-0.01161,-0.36,-0.32
92,-0.0116,-0.24,-0.32
93,-0.01159,-0.12,-0.32
94,-0.01158,-0.04,-0.24
95,-0.01157,0.08,-0.28
96,-0.011559999999999999,0.04,-0.24
97,-0.01155,0.04,-0.2
98,-0.01154,0.0,-0.2
99,-0.01153,-0.12,-0.24
100,-0.011519999999999999,-0.2,-0.2
101,-0.01151,-0.32,-0.2
102,-0.0115,-0.48,-0.24
103,-0.01149,-0.6,-0.24
104,-0.01148,-0.68,-0.28
105,-0.01147,-0.76,-0.32
106,-0.01146,-0.76,-0.36
107,-0.01145,-0.76,-0.36
108,-0.01144,-0.68,-0.4
109,-0.01143,-0.6,-0.44
110,-0.01142,-0.48,-0.44
111,-0.01141,-0.36,-0.4
112,-0.0114,-0.24,-0.4
113,-0.011389999999999999,-0.12,-0.4
114,-0.01138,0.0,-0.4
115,-0.01137,0.08,-0.36
116,-0.01136,0.12,-0.32
117,-0.011349999999999999,0.08,-0.32
118,-0.01134,0.04,-0.28
119,-0.01133,-0.04,-0.28
120,-0.01132,-0.16,-0.24
121,-0.01131,-0.28,-0.24
122,-0.0113,-0.4,-0.24
123,-0.01129,-0.48,-0.28
124,-0.01128,-0.6,-0.28
125,-0.01127,-0.64,-0.32
126,-0.01126,-0.64,-0.36
127,-0.01125,-0.64,-0.36
128,-0.01124,-0.56,-0.4
129,-0.01123,-0.44,-0.4
130,-0.011219999999999999,-0.32,-0.4
131,-0.01121,-0.2,-0.36
132,-0.0112,-0.04,-0.36
133,-0.01119,0.08,-0.32
134,-0.011179999999999999,0.2,-0.32
135,-0.01117,0.28,-0.32
136,-0.01116,0.28,-0.24
137,-0.01115,0.28,-0.24
138,-0.01114,0.24,-0.16
139,-0.01113,0.16,-0.16
140,-0.01112,0.08,-0.12
141,-0.01111,-0.04,-0.12
142,-0.0111,-0.16,-0.12
143,-0.01109,-0.28,-0.12
144,-0.01108,-0.32,-0.16
145,-0.01107,-0.4,-0.12
146,-0.01106,-0.4,-0.2
147,-0.011049999999999999,-0.36,-0.2
148,-0.01104,-0.32,-0.2
149,-0.01103,-0.2,-0.24
150,-0.01102,-0.08,-0.2
151,-0.011009999999999999,0.08,-0.2
152,-0.011,0.2,-0.16
153,-0.01099,0.32,-0.16
154,-0.01098,0.48,-0.12
155,-0.01097,0.52,-0.08
156,-0.01096,0.6,-0.04
157,-0.01095,0.6,0.04
158,-0.01094,0.56,0.04
159,-0.01093,0.48,0.08
160,-0.01092,0.36,0.12
161,-0.01091,0.28,0.12
162,-0.0109,0.16,0.12
163,-0.01089,0.04,0.12
164,-0.010879999999999999,-0.04,0.08
165,-0.01087,-0.08,0.08
166,-0.01086,-0.12,0.08
167,-0.01085,-0.08,0.04
168,-0.010839999999999999,-0.04,0.04
169,-0.01083,0.08,0.04
170,-0.01082,0.24,0.08
171,-0.01081,0.32,0.08
172,-0.0108,0.52,0.08
173,-0.01079,0.64,0.12
174,-0.01078,0.76,0.16
175,-0.01077,0.84,0.2
176,-0.01076,0.84,0.24
177,-0.01075,0.88,0.32
178,-0.01074,0.8,0.28
179,-0.01073,0.72,0.36
180,-0.01072,0.6,0.36
181,-0.010709999999999999,0.52,0.36
182,-0.0107,0.4,0.4
