tempo(s),Vbb(V),Vbe(V),Vce(V)
0.0004,8.08,0.72,0.24
0.0008,8.0,0.72,0.24
0.0012,8.0,0.72,0.24
0.0016,8.0,0.72,0.24
0.002,8.0,0.72,0.24
0.0024,8.0,0.72,0.24
0.0028,8.0,0.72,0.24
0.0032,8.0,0.72,0.24
0.0036000000000000008,8.0,0.72,0.24
0.004,8.0,0.72,0.24
0.0044,8.0,0.72,0.24
0.0048,8.0,0.72,0.24
0.005200000000000001,8.0,0.72,0.24
0.0056,8.0,0.72,0.24
0.006,8.0,0.72,0.24
0.0064,7.92,0.72,0.24
0.0068000000000000005,7.92,0.72,0.24
0.0072000000000000015,7.92,0.72,0.24
0.0076,7.92,0.72,0.24
0.008,7.92,0.72,0.24
0.008400000000000001,7.92,0.72,0.24
0.0088,7.92,0.72,0.24
0.0092,7.92,0.72,0.24
0.0096,7.92,0.72,0.24
0.01,7.92,0.72,0.24
0.0104,7.84,0.72,0.24
0.0108,7.92,0.72,0.24
0.0112,7.84,0.72,0.24
0.0116,7.84,0.72,0.24
0.012,7.84,0.72,0.24
0.0124,7.84,0.72,0.24
0.0128,7.84,0.72,0.24
0.0132,7.84,0.72,0.24
0.0136,7.84,0.72,0.24
0.013999999999999999,7.84,0.72,0.24
0.0144,7.84,0.72,0.24
0.0148,7.84,0.72,0.24
0.0152,7.76,0.72,0.24
0.0156,7.76,0.72,0.24
0.016,7.76,0.72,0.24
0.0164,7.76,0.72,0.24
0.016800000000000002,7.76,0.72,0.24
0.0172,7.76,0.72,0.24
0.0176,7.76,0.72,0.24
0.018000000000000002,7.76,0.72,0.24
0.0184,7.76,0.72,0.24
0.0188,7.76,0.72,0.24
0.0192,7.76,0.72,0.24
0.0196,7.76,0.72,0.24
0.02,7.76,0.72,0.24
0.0204,7.76,0.72,0.24
0.020800000000000003,7.76,0.72,0.24
0.0212,7.76,0.72,0.24
0.0216,7.68,0.72,0.32
0.022,7.68,0.72,0.24
0.0224,7.68,0.72,0.24
0.0228,7.68,0.72,0.24
0.0232,7.68,0.72,0.24
0.0236,7.68,0.72,0.24
0.024,7.68,0.72,0.24
0.0244,7.68,0.72,0.24
0.024800000000000003,7.68,0.72,0.24
0.0252,7.6,0.72,0.24
0.0256,7.6,0.72,0.24
0.026,7.6,0.72,0.24
0.0264,7.6,0.72,0.24
0.0268,7.6,0.72,0.24
0.0272,7.6,0.72,0.24
0.027600000000000003,7.6,0.72,0.24
0.027999999999999997,7.6,0.72,0.24
0.0284,7.6,0.72,0.24
0.028800000000000006,7.6,0.72,0.24
0.0292,7.6,0.72,0.24
0.0296,7.6,0.8,0.24
0.03,7.6,0.72,0.24
0.0304,7.52,0.72,0.24
0.0308,7.6,0.72,0.24
0.0312,7.52,0.72,0.24
0.0316,7.52,0.72,0.24
0.032,7.52,0.72,0.24
0.0324,7.52,0.72,0.24
0.0328,7.52,0.72,0.24
0.0332,7.52,0.8,0.24
0.033600000000000005,7.52,0.72,0.24
0.034,7.52,0.72,0.24
0.0344,7.52,0.72,0.24
0.034800000000000005,7.44,0.72,0.24
0.0352,7.44,0.8,0.24
0.0356,7.44,0.72,0.24
0.036000000000000004,7.44,0.8,0.24
0.0364,7.44,0.8,0.24
0.0368,7.44,0.72,0.24
0.0372,7.44,0.72,0.24
0.0376,7.44,0.8,0.24
0.038,7.44,0.72,0.24
0.0384,7.44,0.72,0.24
0.0388,7.44,0.72,0.24
0.0392,7.44,0.8,0.24
0.0396,7.44,0.72,0.24
0.04,7.44,0.72,0.24
0.040400000000000005,7.36,0.72,0.24
0.0408,7.36,0.72,0.24
0.0412,7.36,0.72,0.24
0.041600000000000005,7.36,0.72,0.24
0.042,7.36,0.8,0.24
0.0424,7.36,0.72,0.24
0.042800000000000005,7.36,0.72,0.24
0.0432,7.36,0.72,0.24
0.0436,7.36,0.8,0.24
0.044,7.36,0.72,0.32
0.0444,7.28,0.72,0.24
0.0448,7.28,0.72,0.24
0.0452,7.28,0.8,0.24
0.0456,7.28,0.72,0.24
0.046,7.28,0.8,0.24
0.0464,7.28,0.72,0.24
0.0468,7.28,0.72,0.24
0.0472,7.28,0.8,0.24
0.0476,7.28,0.72,0.24
0.048,7.28,0.72,0.24
0.048400000000000006,7.28,0.72,0.24
0.0488,7.2,0.72,0.24
0.0492,7.28,0.72,0.24
0.049600000000000005,7.2,0.72,0.24
0.05,7.2,0.8,0.24
0.0504,7.2,0.8,0.32
0.050800000000000005,7.2,0.72,0.24
0.0512,7.2,0.72,0.24
0.0516,7.2,0.8,0.24
0.052000000000000005,7.2,0.72,0.24
0.0524,7.2,0.8,0.32
0.0528,7.2,0.72,0.24
0.0532,7.2,0.8,0.24
0.0536,7.2,0.72,0.24
0.054000000000000006,7.2,0.8,0.24
0.0544,7.2,0.72,0.32
0.0548,7.12,0.72,0.24
0.055200000000000006,7.2,0.72,0.24
0.0556,7.12,0.72,0.32
0.055999999999999994,7.12,0.72,0.32
0.05640000000000001,7.12,0.8,0.24
0.0568,7.12,0.8,0.32
0.0572,7.12,0.8,0.32
0.05760000000000001,7.12,0.8,0.24
0.057999999999999996,7.12,0.72,0.24
0.0584,7.12,0.8,0.24
0.05880000000000001,7.04,0.72,0.24
0.0592,7.12,0.72,0.24
0.0596,7.04,0.8,0.24
0.06000000000000001,7.04,0.72,0.24
0.0604,7.04,0.72,0.24
0.0608,7.04,0.72,0.32
0.0612,7.04,0.72,0.24
0.0616,7.04,0.72,0.32
0.062,7.04,0.8,0.24
0.0624,7.04,0.72,0.24
0.06280000000000001,7.04,0.8,0.24
0.0632,7.04,0.72,0.32
0.0636,6.96,0.8,0.32
0.064,6.96,0.8,0.32
0.0644,6.96,0.72,0.32
0.0648,6.96,0.72,0.24
0.06520000000000001,6.96,0.72,0.24
0.0656,6.96,0.8,0.32
0.066,6.96,0.8,0.24
0.0664,6.96,0.72,0.32
0.0668,6.96,0.8,0.32
0.06720000000000001,6.96,0.72,0.24
0.06760000000000001,6.96,0.72,0.24
0.068,6.96,0.8,0.32
0.0684,6.96,0.8,0.24
0.0688,6.96,0.72,0.24
0.0692,6.96,0.72,0.24
0.06960000000000001,6.96,0.72,0.32
0.07,6.88,0.72,0.32
0.0704,6.88,0.8,0.32
