Rc(Ohm),Vce_rb_10k(V),Vce_rb_12k(V)k,Vce_rb_15k(V),Vce_rb_20k(V)
100,13.86,14.1,14.29,14.43
200,12.82,13.22,13.61,13.89
300,11.75,12.4,12.87,13.32
400,10.71,11.57,12.2,12.81
500,9.7,10.7,11.54,12.28
600,8.69,9.84,10.81,11.71
700,7.69,9.05,10.1,11.2
800,6.68,8.21,9.43,10.65
900,5.7,7.39,8.76,10.1
1000,4.75,6.62,8.1,9.61
1100,3.87,5.84,7.43,9.06
1200,2.92,5.05,6.8,8.55
1300,1.96,4.25,6.1,8.02
1400,1.04,3.51,5.44,7.52
1500,0.26,2.74,4.79,6.97
1600,0.17,1.97,4.17,6.45
1700,0.17,1.2,3.55,5.95
1800,0.15,0.47,2.94,5.46
1900,0.14,0.19,2.29,4.97
2000,0.13,0.17,1.67,4.42
2100,0.13,0.16,1.19,4.11
2200,0.13,0.14,0.56,3.59
2300,0.12,0.14,0.21,3.08
2400,0.12,0.13,0.19,2.55
2500,0.12,0.12,0.16,2.07
2600,0.11,0.11,0.165,1.57
2700,0.11,0.11,0.14,1.09
2800,0.11,0.11,0.13,0.61
2900,0.11,0.1,0.12,0.23
3000,0.1,0.1,0.12,0.2
3100,0.1,0.1,0.12,0.18
3200,0.1,0.1,0.12,0.15
3300,0.09,0.09,0.11,0.14
3400,0.09,0.1,0.11,0.14
3500,0.09,0.09,0.11,0.14
